 TIDAL FACTORS STARTING:  HR- 0.00,  DAY-  1,  MONTH-  8  YEAR- 2013

 FOR A RUN LASTING    90.00 DAYS


 CONST   NODE     EQ ARG (ref GM)
 NAME   FACTOR    (DEG) 


 K1    0.91678     226.20
 O1    0.86424     271.64
 P1    1.00000     140.23
 Q1    0.86424     127.78
 N2    1.02892     357.36
 M2    1.02892     141.22
 S2    1.00000       0.00
 K2    0.80479     271.56
 MF    0.72518     137.93
 MM    1.09985     143.87
 M4    1.05868     282.45
 MS4   1.02892     141.22
 MN4   1.05868     138.58
